Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"CASP8","Caspase 8","Protein Coding","50","GC02P201233","49.5614929199219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","49","GC18M063123","47.9960327148438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"CASP3","Caspase 3","Protein Coding","48","GC04M184627","44.3881721496582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","47","GC19P048954","42.3641357421875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","49","GC10P090723","40.9580612182617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"XIAP","X-Linked Inhibitor Of Apoptosis","Protein Coding","47","GC0XP123859","37.2887077331543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIAP"
"CFLAR","CASP8 And FADD Like Apoptosis Regulator","Protein Coding","44","GC02P201117","35.8991241455078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFLAR"
"CASP10","Caspase 10","Protein Coding","48","GC02P201182","34.9689788818359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP10"
"FASLG","Fas Ligand","Protein Coding","46","GC01P172628","33.212646484375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"AIFM1","Apoptosis Inducing Factor Mitochondria Associated 1","Protein Coding","47","GC0XM130129","32.9979248046875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIFM1"
"TP53","Tumor Protein P53","Protein Coding","51","GC17M007661","32.9076957702637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"CASP9","Caspase 9","Protein Coding","46","GC01M015491","32.5573921203613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP9"
"TNFSF10","TNF Superfamily Member 10","Protein Coding","44","GC03M172505","31.5243587493896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF10"
"MCL1","MCL1 Apoptosis Regulator, BCL2 Family Member","Protein Coding","45","GC01M151420","30.2130947113037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCL1"
"BCL2L1","BCL2 Like 1","Protein Coding","45","GC20M031664","28.9502010345459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L1"
"CYCS","Cytochrome C, Somatic","Protein Coding","47","GC07M025118","25.2616329193115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS"
"BIRC5","Baculoviral IAP Repeat Containing 5","Protein Coding","45","GC17P078214","24.7640686035156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5"
"BCL2L11","BCL2 Like 11","Protein Coding","44","GC02P111119","24.1183986663818","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L11"
